title,author,volume,issue,date
"Gaming (Ad)diction: Discourse, Identity, Time and Play in the Production of the Gamer Addiction Myth",Rob Cover,6,1,December 2006
Combat in Context,Nick Montfort,6,1,December 2006
Learning to Play or Playing to Learn - A Critical Account of the Models of Communication Informing Educational Research on Computer Gameplay,Hans Christian Arnseth,6,1,December 2006
On the Role of the Die: A brief ludologic study of pen-and-paper roleplaying games and their rules,Joris Dormans,6,1,December 2006
Self-Portrayal in a Simulated Life: Projecting Personality and Values in The Sims 2,Thaddeus Griebel,6,1,December 2006
Signifying Play: The Sims and the Sociology of Interior Design,Charles Paulk,6,1,December 2006
Street Fighter and The King of Fighters in Hong Kong: A Study of Cultural Consumption and Localization of Japanese Games in an Asian Context,Benjamin Wai-ming Ng,6,1,December 2006
The Games Economists Play - Implications of Economic Game Theory for the Study of Computer Games,Jonas Heide Smith,6,1,December 2006
Victorian Snakes? Towards A Cultural History of Mobile Games and the Experience of Movement,"Jussi Parikka, Jaakko Suominen",6,1,December 2006
Game analysis: Developing a methodological toolkit for the qualitative study of games,"Mia Consalvo, Nathan Dutton",6,1,December 2006
The Playful and the Serious: An approximation to Huizinga's Homo Ludens,Hector Rodriguez,6,1,December 2006
"Myths, Monsters and Markets: Ethos, Identification, and the Video Game Adaptations of The Lord of the Rings",Mark Rowell Wallin,7,1,August 2007
"Narrative, Games, and Theory",Jan Simons,7,1,August 2007
Tragedies of the ludic commons - understanding cooperation in multiplayer games,Jonas Heide Smith,7,1,August 2007
Dynamic Lighting for Tension in Games,"Magy Seif El-Nasr, Simon Niedenthal, Igor Knez, Priya Almeida, Joseph Zupko",7,1,August 2007
Adapting the Principles of Ludology to the Method of Video Game Content Analysis,Steven Malliet,7,1,August 2007
"Screw the Grue: Mediality, Metalepsis, Recapture",Terry Harpold,7,1,August 2007
"The Accidental Carjack: Ethnography, Gameworld Tourism, and Grand Theft Auto",Kiri Miller,8,1,September 2008
Quests in Context: A Comparative Analysis of Discworld and World of Warcraft,Faltin Karlsen,8,1,September 2008
How’s the Weather: Simulating Weather in Virtual Environments,Matt Barton,8,1,September 2008
Making the Water Move: Techno-Historic Limits in the Game Aesthetics of Myst and Doom,Andrew Hutchison,8,1,September 2008
Electronic Empire: Orientalism Revisited in the Military Shooter,Johan Höglund,8,1,September 2008
“I Hope You Never See Another Day Like This”: Pedagogy & Allegory in “Post 9/11” Video Games,Marc A. Ouellette,8,1,September 2008
Improving Computer Game Narrative Using Polti Ratios,"Richard Hall, Kirsty Baird",8,1,September 2008
Audio and Gameplay: An Analysis of PvP Battlegrounds in World of Warcraft,Kristine Jørgensen,8,2,December 2008
A Procrustean Probe,Tom Tyler,8,2,December 2008
Virtual Torture: Videogames and the War on Terror,Mark L. Sample,8,2,December 2008
Defining Game Mechanics,Miguel Sicart,8,2,December 2008
"Novices, Gamers, and Scholars: Exploring the Challenges of Teaching About Games","José P. Zagal, Amy Bruckman",8,2,December 2008
Special Issue - EQ: 10 Years Later,"Eric Hayot, Edward Wesp",9,1,April 2009
Befriending Ogres and Wood-Elves: Relationship Formation and The Social Architecture of Norrath,Nick Yee,9,1,April 2009
"Planes of Power: EverQuest as Text, Game and Community",Greg Lastowka,9,1,April 2009
